mssubclass,mszoning,lotfrontage,lotshape,lotconfig,neighborhood,condition1,bldgtype,housestyle,overallqual,overallcond,yearbuilt,yearremodadd,roofstyle,exterior1st,exterior2nd,masvnrtype,masvnrarea,exterqual,extercond,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,totalbsmtsf,heatingqc,centralair,electrical,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenqual,totrmsabvgrd,functional,fireplaces,fireplacequ,garagetype,garageyrblt,garagefinish,garagecars,garagearea,garagequal,wooddecksf,openporchsf,enclosedporch,fence,miscfeature,miscval,mosold,yrsold,saletype,salecondition,saleprice,SalePrice Bucket
MSSubClass-20,MSZoning-RL,LotFrontage-70,LotShape-Reg,LotConfig-Inside,Neighborhood-Sawyer,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-5,OverallCond-5,YearBuilt-1965,YearRemodAdd-1965,RoofStyle-Hip,Exterior1st-HdBoard,Exterior2nd-HdBoard,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Rec,BsmtFinSF1-906,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-134,TotalBsmtSF-1040,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1040,BsmtFullBath-1,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-3,KitchenQual-TA,TotRmsAbvGrd-5,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Detchd,GarageYrBlt-1965,GarageFinish-Unf,GarageCars-1,GarageArea-384,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-2,YrSold-2008,SaleType-WD,SaleCondition-Normal,SalePrice-129500,gt_100000
MSSubClass-60,MSZoning-RL,LotFrontage-85,LotShape-IR1,LotConfig-Inside,Neighborhood-NridgHt,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-9,OverallCond-5,YearBuilt-2005,YearRemodAdd-2006,RoofStyle-Hip,Exterior1st-WdShing,Exterior2nd-Wd Shng,MasVnrType-Stone,MasVnrArea-286,ExterQual-Ex,ExterCond-TA,Foundation-PConc,BsmtQual-Ex,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-GLQ,BsmtFinSF1-998,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-177,TotalBsmtSF-1175,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-2324,BsmtFullBath-1,BsmtHalfBath-0,FullBath-3,HalfBath-0,BedroomAbvGr-4,KitchenQual-Ex,TotRmsAbvGrd-11,Functional-Typ,Fireplaces-2,FireplaceQu-Gd,GarageType-BuiltIn,GarageYrBlt-2005,GarageFinish-Fin,GarageCars-3,GarageArea-736,GarageQual-TA,WoodDeckSF-147,OpenPorchSF-21,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-7,YrSold-2006,SaleType-New,SaleCondition-Partial,SalePrice-345000,gt_300000
MSSubClass-20,MSZoning-RL,LotFrontage-NA,LotShape-IR2,LotConfig-Inside,Neighborhood-Sawyer,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-5,OverallCond-6,YearBuilt-1962,YearRemodAdd-1962,RoofStyle-Hip,Exterior1st-HdBoard,Exterior2nd-Plywood,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-ALQ,BsmtFinSF1-737,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-175,TotalBsmtSF-912,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-912,BsmtFullBath-1,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-2,KitchenQual-TA,TotRmsAbvGrd-4,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Detchd,GarageYrBlt-1962,GarageFinish-Unf,GarageCars-1,GarageArea-352,GarageQual-TA,WoodDeckSF-140,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-9,YrSold-2008,SaleType-WD,SaleCondition-Normal,SalePrice-144000,gt_100000
MSSubClass-20,MSZoning-RL,LotFrontage-91,LotShape-IR1,LotConfig-Inside,Neighborhood-CollgCr,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-7,OverallCond-5,YearBuilt-2006,YearRemodAdd-2007,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-Stone,MasVnrArea-306,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-Av,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-1494,TotalBsmtSF-1494,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1494,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-7,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-2006,GarageFinish-RFn,GarageCars-3,GarageArea-840,GarageQual-TA,WoodDeckSF-160,OpenPorchSF-33,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-8,YrSold-2007,SaleType-New,SaleCondition-Partial,SalePrice-279500,gt_200000
MSSubClass-20,MSZoning-RL,LotFrontage-NA,LotShape-IR1,LotConfig-Corner,Neighborhood-NAmes,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-6,OverallCond-5,YearBuilt-1960,YearRemodAdd-1960,RoofStyle-Hip,Exterior1st-MetalSd,Exterior2nd-MetalSd,MasVnrType-BrkFace,MasVnrArea-212,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-BLQ,BsmtFinSF1-733,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-520,TotalBsmtSF-1253,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-1253,BsmtFullBath-1,BsmtHalfBath-0,FullBath-1,HalfBath-1,BedroomAbvGr-2,KitchenQual-TA,TotRmsAbvGrd-5,Functional-Typ,Fireplaces-1,FireplaceQu-Fa,GarageType-Attchd,GarageYrBlt-1960,GarageFinish-RFn,GarageCars-1,GarageArea-352,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-213,EnclosedPorch-176,Fence-GdWo,MiscFeature-NA,MiscVal-0,MoSold-5,YrSold-2008,SaleType-WD,SaleCondition-Normal,SalePrice-157000,gt_100000
MSSubClass-45,MSZoning-RM,LotFrontage-51,LotShape-Reg,LotConfig-Corner,Neighborhood-BrkSide,Condition1-Norm,BldgType-1Fam,HouseStyle-1.5Unf,OverallQual-7,OverallCond-8,YearBuilt-1929,YearRemodAdd-2001,RoofStyle-Gable,Exterior1st-Wd Sdng,Exterior2nd-Wd Sdng,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-BrkTil,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-832,TotalBsmtSF-832,HeatingQC-Ex,CentralAir-Y,Electrical-FuseA,GrLivArea-854,BsmtFullBath-0,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-2,KitchenQual-TA,TotRmsAbvGrd-5,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Detchd,GarageYrBlt-1991,GarageFinish-Unf,GarageCars-2,GarageArea-576,GarageQual-TA,WoodDeckSF-48,OpenPorchSF-112,EnclosedPorch-0,Fence-GdPrv,MiscFeature-NA,MiscVal-0,MoSold-7,YrSold-2007,SaleType-WD,SaleCondition-Normal,SalePrice-132000,gt_100000
MSSubClass-20,MSZoning-RL,LotFrontage-NA,LotShape-IR1,LotConfig-CulDSac,Neighborhood-NAmes,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-6,OverallCond-7,YearBuilt-1970,YearRemodAdd-1970,RoofStyle-Gable,Exterior1st-Wd Sdng,Exterior2nd-Wd Sdng,MasVnrType-BrkFace,MasVnrArea-180,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-ALQ,BsmtFinSF1-578,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-426,TotalBsmtSF-1004,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1004,BsmtFullBath-1,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-2,KitchenQual-TA,TotRmsAbvGrd-5,Functional-Typ,Fireplaces-1,FireplaceQu-TA,GarageType-Attchd,GarageYrBlt-1970,GarageFinish-Fin,GarageCars-2,GarageArea-480,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-Shed,MiscVal-700,MoSold-3,YrSold-2010,SaleType-WD,SaleCondition-Normal,SalePrice-149000,gt_100000
MSSubClass-90,MSZoning-RL,LotFrontage-72,LotShape-Reg,LotConfig-Inside,Neighborhood-Sawyer,Condition1-Norm,BldgType-Duplex,HouseStyle-1Story,OverallQual-4,OverallCond-5,YearBuilt-1967,YearRemodAdd-1967,RoofStyle-Gable,Exterior1st-MetalSd,Exterior2nd-MetalSd,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-Slab,BsmtQual-NA,BsmtCond-NA,BsmtExposure-NA,BsmtFinType1-NA,BsmtFinSF1-0,BsmtFinType2-NA,BsmtFinSF2-0,BsmtUnfSF-0,TotalBsmtSF-0,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-1296,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-2,KitchenQual-TA,TotRmsAbvGrd-6,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-CarPort,GarageYrBlt-1967,GarageFinish-Unf,GarageCars-2,GarageArea-516,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-Shed,MiscVal-500,MoSold-10,YrSold-2006,SaleType-WD,SaleCondition-Normal,SalePrice-90000,lt_100000
MSSubClass-20,MSZoning-RL,LotFrontage-66,LotShape-Reg,LotConfig-Inside,Neighborhood-SawyerW,Condition1-RRAe,BldgType-1Fam,HouseStyle-1Story,OverallQual-5,OverallCond-5,YearBuilt-2004,YearRemodAdd-2004,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-PConc,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-GLQ,BsmtFinSF1-646,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-468,TotalBsmtSF-1114,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1114,BsmtFullBath-1,BsmtHalfBath-0,FullBath-1,HalfBath-1,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-6,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Detchd,GarageYrBlt-2004,GarageFinish-Unf,GarageCars-2,GarageArea-576,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-102,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-6,YrSold-2008,SaleType-WD,SaleCondition-Normal,SalePrice-159000,gt_100000
MSSubClass-20,MSZoning-RL,LotFrontage-70,LotShape-Reg,LotConfig-Inside,Neighborhood-NAmes,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-5,OverallCond-6,YearBuilt-1958,YearRemodAdd-1965,RoofStyle-Hip,Exterior1st-BrkFace,Exterior2nd-Plywood,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-LwQ,BsmtFinSF1-504,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-525,TotalBsmtSF-1029,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-1339,BsmtFullBath-0,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-3,KitchenQual-TA,TotRmsAbvGrd-6,Functional-Min1,Fireplaces-0,FireplaceQu-NA,GarageType-Attchd,GarageYrBlt-1958,GarageFinish-Unf,GarageCars-1,GarageArea-294,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-0,Fence-MnPrv,MiscFeature-NA,MiscVal-0,MoSold-5,YrSold-2009,SaleType-COD,SaleCondition-Abnorml,SalePrice-139000,gt_100000
